# x_m,y_m,w_tr_right_m,w_tr_left_m
2.0700,4.5112,0.1644,0.1644
2.0700,4.5225,0.1622,0.1622
2.0587,4.5337,0.1634,0.1634
2.0475,4.5450,0.1647,0.1647
2.0362,4.5562,0.1654,0.1654
2.0362,4.5675,0.1644,0.1644
2.0250,4.5787,0.1654,0.1654
2.0137,4.5900,0.1658,0.1658
2.0137,4.6012,0.1647,0.1647
2.0025,4.6125,0.1661,0.1661
2.0025,4.6238,0.1644,0.1644
1.9912,4.6350,0.1661,0.1661
1.9800,4.6463,0.1647,0.1647
1.9800,4.6575,0.1652,0.1652
1.9688,4.6688,0.1654,0.1654
1.9688,4.6800,0.1635,0.1635
1.9688,4.6913,0.1613,0.1613
1.9575,4.7025,0.1622,0.1622
1.9463,4.7138,0.1634,0.1634
1.9350,4.7250,0.1647,0.1647
1.9237,4.7363,0.1634,0.1634
1.9237,4.7475,0.1644,0.1644
1.9125,4.7588,0.1644,0.1644
1.9012,4.7700,0.1635,0.1635
1.9012,4.7812,0.1658,0.1658
1.8900,4.7925,0.1652,0.1652
1.8900,4.8037,0.1661,0.1661
1.8787,4.8150,0.1672,0.1672
1.8787,4.8262,0.1661,0.1661
1.8675,4.8375,0.1676,0.1676
1.8675,4.8487,0.1652,0.1652
1.8562,4.8600,0.1658,0.1658
1.8562,4.8712,0.1635,0.1635
1.8450,4.8825,0.1644,0.1644
1.8450,4.8937,0.1622,0.1622
1.8337,4.9050,0.1634,0.1634
1.8225,4.9162,0.1647,0.1647
1.8225,4.9275,0.1628,0.1628
1.8113,4.9387,0.1644,0.1644
1.8113,4.9500,0.1627,0.1627
1.8000,4.9612,0.1645,0.1645
1.7887,4.9725,0.1644,0.1644
1.7887,4.9837,0.1647,0.1647
1.7775,4.9950,0.1647,0.1647
1.7775,5.0062,0.1644,0.1644
1.7662,5.0175,0.1654,0.1654
1.7550,5.0287,0.1644,0.1644
1.7550,5.0400,0.1652,0.1652
1.7437,5.0512,0.1658,0.1658
1.7437,5.0625,0.1635,0.1635
1.7325,5.0737,0.1644,0.1644
1.7325,5.0850,0.1622,0.1622
1.7212,5.0962,0.1634,0.1634
1.7100,5.1075,0.1647,0.1647
1.6987,5.1187,0.1661,0.1661
1.6987,5.1300,0.1644,0.1644
1.6875,5.1412,0.1647,0.1647
1.6763,5.1525,0.1644,0.1644
1.6763,5.1637,0.1628,0.1628
1.6650,5.1750,0.1635,0.1635
1.6650,5.1863,0.1613,0.1613
1.6537,5.1975,0.1622,0.1622
1.6425,5.2088,0.1634,0.1634
1.6312,5.2200,0.1635,0.1635
1.6312,5.2313,0.1628,0.1628
1.6200,5.2425,0.1644,0.1644
1.6200,5.2538,0.1627,0.1627
1.6087,5.2650,0.1645,0.1645
1.5975,5.2763,0.1644,0.1644
1.5975,5.2875,0.1647,0.1647
1.5862,5.2988,0.1647,0.1647
1.5862,5.3100,0.1644,0.1644
1.5750,5.3213,0.1654,0.1654
1.5637,5.3325,0.1644,0.1644
1.5637,5.3438,0.1664,0.1664
1.5525,5.3550,0.1658,0.1658
1.5525,5.3662,0.1672,0.1672
1.5413,5.3775,0.1676,0.1676
1.5413,5.3887,0.1672,0.1672
1.5413,5.4000,0.1647,0.1647
1.5300,5.4112,0.1652,0.1652
1.5300,5.4225,0.1628,0.1628
1.5188,5.4337,0.1635,0.1635
1.5075,5.4450,0.1644,0.1644
1.5075,5.4562,0.1622,0.1622
1.4962,5.4675,0.1634,0.1634
1.4850,5.4787,0.1647,0.1647
1.4850,5.4900,0.1628,0.1628
1.4737,5.5012,0.1644,0.1644
1.4737,5.5125,0.1627,0.1627
1.4625,5.5237,0.1645,0.1645
1.4512,5.5350,0.1644,0.1644
1.4512,5.5462,0.1647,0.1647
1.4400,5.5575,0.1647,0.1647
1.4400,5.5687,0.1644,0.1644
1.4287,5.5800,0.1654,0.1654
1.4175,5.5912,0.1644,0.1644
1.4175,5.6025,0.1652,0.1652
1.4062,5.6137,0.1658,0.1658
1.4062,5.6250,0.1635,0.1635
1.3950,5.6362,0.1644,0.1644
1.3838,5.6475,0.1654,0.1654
1.3838,5.6587,0.1634,0.1634
1.3725,5.6700,0.1647,0.1647
1.3612,5.6812,0.1661,0.1661
1.3500,5.6925,0.1654,0.1654
1.3500,5.7037,0.1661,0.1661
1.3387,5.7150,0.1665,0.1665
1.3387,5.7262,0.1654,0.1654
1.3275,5.7375,0.1666,0.1666
1.3162,5.7487,0.1675,0.1675
1.3162,5.7600,0.1661,0.1661
1.3162,5.7713,0.1644,0.1644
1.3050,5.7825,0.1661,0.1661
1.2937,5.7938,0.1679,0.1679
1.2937,5.8050,0.1661,0.1661
1.2825,5.8163,0.1677,0.1677
1.2825,5.8275,0.1661,0.1661
1.2712,5.8388,0.1677,0.1677
1.2712,5.8500,0.1661,0.1661
1.2600,5.8613,0.1676,0.1676
1.2600,5.8725,0.1652,0.1652
1.2488,5.8838,0.1658,0.1658
1.2488,5.8950,0.1635,0.1635
1.2375,5.9062,0.1644,0.1644
1.2375,5.9175,0.1622,0.1622
1.2263,5.9287,0.1634,0.1634
1.2150,5.9400,0.1647,0.1647
1.2037,5.9512,0.1654,0.1654
1.1925,5.9625,0.1644,0.1644
1.1925,5.9737,0.1661,0.1661
1.1812,5.9850,0.1658,0.1658
1.1812,5.9962,0.1664,0.1664
1.1700,6.0075,0.1676,0.1676
1.1700,6.0187,0.1661,0.1661
1.1587,6.0300,0.1672,0.1672
1.1587,6.0412,0.1647,0.1647
1.1475,6.0525,0.1652,0.1652
1.1362,6.0637,0.1658,0.1658
1.1362,6.0750,0.1635,0.1635
1.1362,6.0862,0.1613,0.1613
1.1250,6.0975,0.1622,0.1622
1.1138,6.1087,0.1634,0.1634
1.1138,6.1200,0.1614,0.1614
1.1025,6.1312,0.1628,0.1628
1.1025,6.1425,0.1610,0.1610
1.0913,6.1537,0.1627,0.1627
1.0800,6.1650,0.1644,0.1644
1.0800,6.1762,0.1630,0.1630
1.0687,6.1875,0.1647,0.1647
1.0575,6.1987,0.1634,0.1634
1.0575,6.2100,0.1654,0.1654
1.0462,6.2212,0.1644,0.1644
1.0462,6.2325,0.1661,0.1661
1.0350,6.2437,0.1658,0.1658
1.0350,6.2550,0.1664,0.1664
1.0237,6.2662,0.1676,0.1676
1.0237,6.2775,0.1661,0.1661
1.0125,6.2887,0.1677,0.1677
1.0125,6.3000,0.1661,0.1661
1.0012,6.3112,0.1675,0.1675
1.0012,6.3225,0.1652,0.1652
0.9900,6.3337,0.1658,0.1658
0.9900,6.3450,0.1635,0.1635
0.9788,6.3563,0.1644,0.1644
0.9788,6.3675,0.1622,0.1622
0.9675,6.3788,0.1634,0.1634
0.9562,6.3900,0.1647,0.1647
0.9450,6.4013,0.1654,0.1654
0.9450,6.4125,0.1644,0.1644
0.9337,6.4238,0.1661,0.1661
0.9337,6.4350,0.1644,0.1644
0.9225,6.4463,0.1654,0.1654
0.9225,6.4575,0.1634,0.1634
0.9225,6.4688,0.1614,0.1614
0.9113,6.4800,0.1628,0.1628
0.9113,6.4912,0.1610,0.1610
0.9000,6.5025,0.1627,0.1627
0.8887,6.5137,0.1644,0.1644
0.8887,6.5250,0.1630,0.1630
0.8775,6.5362,0.1647,0.1647
0.8775,6.5475,0.1637,0.1637
0.8662,6.5587,0.1654,0.1654
0.8662,6.5700,0.1649,0.1649
0.8550,6.5812,0.1661,0.1661
0.8550,6.5925,0.1664,0.1664
0.8550,6.6037,0.1656,0.1656
0.8438,6.6150,0.1679,0.1679
0.8438,6.6262,0.1664,0.1664
0.8325,6.6375,0.1679,0.1679
0.8325,6.6487,0.1672,0.1672
0.8325,6.6600,0.1660,0.1660
0.8212,6.6712,0.1677,0.1677
0.8212,6.6825,0.1661,0.1661
0.8100,6.6937,0.1677,0.1677
0.8100,6.7050,0.1661,0.1661
0.7987,6.7162,0.1679,0.1679
0.7987,6.7275,0.1664,0.1664
0.7875,6.7387,0.1664,0.1664
0.7875,6.7500,0.1671,0.1671
0.7875,6.7612,0.1660,0.1660
0.7762,6.7725,0.1647,0.1647
0.7762,6.7837,0.1656,0.1656
0.7762,6.7950,0.1664,0.1664
0.7762,6.8062,0.1656,0.1656
0.7762,6.8175,0.1647,0.1647
0.7762,6.8287,0.1640,0.1640
0.7650,6.8400,0.1671,0.1671
0.7650,6.8512,0.1665,0.1665
0.7650,6.8625,0.1661,0.1661
0.7650,6.8737,0.1657,0.1657
0.7537,6.8850,0.1691,0.1691
0.7537,6.8962,0.1689,0.1689
0.7537,6.9075,0.1688,0.1688
0.7537,6.9188,0.1687,0.1687
0.7537,6.9300,0.1687,0.1687
0.7537,6.9413,0.1688,0.1688
0.7425,6.9525,0.1725,0.1725
0.7425,6.9638,0.1725,0.1725
0.7425,6.9750,0.1725,0.1725
0.7425,6.9863,0.1725,0.1725
0.7425,6.9975,0.1725,0.1725
0.7425,7.0088,0.1725,0.1725
0.7425,7.0200,0.1725,0.1725
0.7425,7.0312,0.1725,0.1725
0.7425,7.0425,0.1725,0.1725
0.7425,7.0537,0.1725,0.1725
0.7425,7.0650,0.1725,0.1725
0.7425,7.0762,0.1725,0.1725
0.7425,7.0875,0.1725,0.1725
0.7537,7.0987,0.1687,0.1687
0.7537,7.1100,0.1687,0.1687
0.7537,7.1212,0.1687,0.1687
0.7537,7.1325,0.1687,0.1687
0.7537,7.1437,0.1687,0.1687
0.7537,7.1550,0.1687,0.1687
0.7537,7.1662,0.1688,0.1688
0.7537,7.1775,0.1684,0.1684
0.7537,7.1887,0.1677,0.1677
0.7650,7.2000,0.1657,0.1657
0.7650,7.2112,0.1661,0.1661
0.7650,7.2225,0.1665,0.1665
0.7650,7.2337,0.1671,0.1671
0.7650,7.2450,0.1677,0.1677
0.7650,7.2562,0.1684,0.1684
0.7650,7.2675,0.1688,0.1688
0.7762,7.2787,0.1664,0.1664
0.7762,7.2900,0.1671,0.1671
0.7762,7.3012,0.1677,0.1677
0.7875,7.3125,0.1647,0.1647
0.7875,7.3237,0.1656,0.1656
0.7875,7.3350,0.1664,0.1664
0.7875,7.3462,0.1674,0.1674
0.7875,7.3575,0.1664,0.1664
0.7987,7.3687,0.1660,0.1660
0.7987,7.3800,0.1672,0.1672
0.7987,7.3912,0.1664,0.1664
0.8100,7.4025,0.1664,0.1664
0.8100,7.4137,0.1672,0.1672
0.8212,7.4250,0.1661,0.1661
0.8325,7.4362,0.1644,0.1644
0.8325,7.4475,0.1661,0.1661
0.8325,7.4587,0.1679,0.1679
0.8438,7.4700,0.1664,0.1664
0.8438,7.4812,0.1679,0.1679
0.8550,7.4925,0.1661,0.1661
0.8550,7.5038,0.1677,0.1677
0.8662,7.5150,0.1661,0.1661
0.8775,7.5263,0.1647,0.1647
0.8775,7.5375,0.1666,0.1666
0.8887,7.5488,0.1654,0.1654
0.8887,7.5600,0.1675,0.1675
0.9000,7.5713,0.1661,0.1661
0.9000,7.5825,0.1677,0.1677
0.9000,7.5938,0.1671,0.1671
0.9113,7.6050,0.1671,0.1671
0.9225,7.6162,0.1666,0.1666
0.9337,7.6275,0.1654,0.1654
0.9450,7.6387,0.1644,0.1644
0.9450,7.6500,0.1644,0.1644
0.9562,7.6612,0.1645,0.1645
0.9675,7.6725,0.1647,0.1647
0.9788,7.6837,0.1647,0.1647
0.9900,7.6950,0.1645,0.1645
1.0012,7.7062,0.1644,0.1644
1.0125,7.7062,0.1618,0.1618
1.0237,7.7175,0.1619,0.1619
1.0350,7.7287,0.1623,0.1623
1.0462,7.7400,0.1628,0.1628
1.0575,7.7512,0.1628,0.1628
1.0687,7.7512,0.1613,0.1613
1.0800,7.7625,0.1622,0.1622
1.0913,7.7737,0.1622,0.1622
1.1025,7.7850,0.1613,0.1613
1.1138,7.7962,0.1605,0.1605
1.1250,7.7962,0.1628,0.1628
1.1362,7.8075,0.1623,0.1623
1.1475,7.8075,0.1645,0.1645
1.1587,7.8187,0.1644,0.1644
1.1700,7.8300,0.1628,0.1628
1.1812,7.8300,0.1647,0.1647
1.1925,7.8300,0.1657,0.1657
1.2037,7.8412,0.1623,0.1623
1.2150,7.8412,0.1628,0.1628
1.2263,7.8412,0.1634,0.1634
1.2375,7.8412,0.1640,0.1640
1.2488,7.8412,0.1647,0.1647
1.2600,7.8525,0.1619,0.1619
1.2712,7.8525,0.1628,0.1628
1.2825,7.8525,0.1638,0.1638
1.2937,7.8525,0.1649,0.1649
1.3050,7.8525,0.1657,0.1657
1.3162,7.8637,0.1637,0.1637
1.3275,7.8637,0.1650,0.1650
1.3387,7.8637,0.1660,0.1660
1.3500,7.8750,0.1645,0.1645
1.3612,7.8750,0.1657,0.1657
1.3725,7.8750,0.1661,0.1661
1.3838,7.8750,0.1656,0.1656
1.3950,7.8750,0.1647,0.1647
1.4062,7.8862,0.1640,0.1640
1.4175,7.8862,0.1647,0.1647
1.4287,7.8862,0.1656,0.1656
1.4400,7.8862,0.1661,0.1661
1.4512,7.8862,0.1657,0.1657
1.4625,7.8862,0.1654,0.1654
1.4737,7.8862,0.1652,0.1652
1.4850,7.8975,0.1672,0.1672
1.4962,7.8975,0.1685,0.1685
1.5075,7.8975,0.1687,0.1687
1.5188,7.8975,0.1687,0.1687
1.5300,7.8975,0.1687,0.1687
1.5413,7.8975,0.1687,0.1687
1.5525,7.8975,0.1687,0.1687
1.5637,7.8975,0.1687,0.1687
1.5750,7.8975,0.1687,0.1687
1.5862,7.8975,0.1687,0.1687
1.5975,7.8975,0.1687,0.1687
1.6087,7.8975,0.1687,0.1687
1.6200,7.8975,0.1687,0.1687
1.6312,7.8975,0.1687,0.1687
1.6425,7.8975,0.1687,0.1687
1.6537,7.8975,0.1687,0.1687
1.6650,7.8975,0.1687,0.1687
1.6763,7.8975,0.1687,0.1687
1.6875,7.8975,0.1687,0.1687
1.6987,7.8975,0.1687,0.1687
1.7100,7.8975,0.1687,0.1687
1.7212,7.8975,0.1687,0.1687
1.7325,7.8975,0.1687,0.1687
1.7437,7.8975,0.1687,0.1687
1.7550,7.8975,0.1687,0.1687
1.7662,7.8975,0.1687,0.1687
1.7775,7.8975,0.1687,0.1687
1.7887,7.8975,0.1687,0.1687
1.8000,7.8975,0.1687,0.1687
1.8113,7.8975,0.1685,0.1685
1.8225,7.8975,0.1672,0.1672
1.8337,7.8862,0.1652,0.1652
1.8450,7.8862,0.1654,0.1654
1.8562,7.8862,0.1657,0.1657
1.8675,7.8862,0.1661,0.1661
1.8787,7.8862,0.1656,0.1656
1.8900,7.8862,0.1647,0.1647
1.9012,7.8862,0.1640,0.1640
1.9125,7.8750,0.1647,0.1647
1.9237,7.8750,0.1656,0.1656
1.9350,7.8750,0.1661,0.1661
1.9463,7.8750,0.1657,0.1657
1.9575,7.8750,0.1654,0.1654
1.9688,7.8750,0.1652,0.1652
1.9800,7.8750,0.1650,0.1650
